[439] : 475.859375,  474.859375  (-1.000000)
[440] : 583.656250,  583.687500  (0.031250)
[441] : 205.921875,  223.531250  (17.609375)
[442] : 58.328125,  58.328125  (0.000000)
[443] : 33.140625,  31.890625  (-1.250000)
[444] : 51.515625,  51.687500  (0.171875)
[445] : 45.328125,  35.140625  (-10.187500)
[446] : 27.187500,  27.187500  (0.000000)
[447] : 43.312500,  37.718750  (-5.593750)
[448] : 327.640625,  337.484375  (9.843750)
[449] : 182.218750,  180.437500  (-1.781250)
[450] : 311.093750,  298.593750  (-12.500000)
[451] : 266.703125,  264.156250  (-2.546875)
[452] : 203.875000,  203.875000  (0.000000)
[453] : 334.593750,  381.093750  (46.500000)
[454] : 31.328125,  31.328125  (0.000000)
[455] : 216.937500,  219.218750  (2.281250)
[456] : 774.843750,  789.734375  (14.890625)
[457] : 809.187500,  822.312500  (13.125000)
[458] : 190.156250,  187.843750  (-2.312500)
[459] : 45.734375,  45.734375  (0.000000)
[460] : 49.234375,  44.328125  (-4.906250)
[461] : 25.437500,  25.500000  (0.062500)
[462] : 281.828125,  427.015625  (145.187500)
[463] : 528.640625,  517.625000  (-11.015625)
[464] : 554.000000,  568.375000  (14.375000)
[465] : 543.562500,  535.437500  (-8.125000)
[466] : 770.875000,  766.515625  (-4.359375)
[467] : 858.921875,  862.234375  (3.312500)
[468] : 466.421875,  459.312500  (-7.109375)
[469] : 245.687500,  233.906250  (-11.781250)
[470] : 371.406250,  372.390625  (0.984375)
[471] : 197.562500,  282.718750  (85.156250)
[472] : 145.281250,  145.281250  (0.000000)
[473] : 319.000000,  322.593750  (3.593750)
[474] : 244.968750,  245.890625  (0.921875)
[475] : 321.843750,  328.437500  (6.593750)
[476] : 363.484375,  363.718750  (0.234375)
[477] : 82.609375,  82.781250  (0.171875)
[478] : 57.671875,  57.093750  (-0.578125)
[479] : 59.375000,  59.375000  (0.000000)
[480] : 330.484375,  325.531250  (-4.953125)
[481] : 275.046875,  276.500000  (1.453125)
[482] : 131.562500,  131.062500  (-0.500000)
[483] : 332.812500,  328.765625  (-4.046875)
[484] : 135.531250,  135.140625  (-0.390625)
[485] : 385.765625,  387.484375  (1.718750)
[486] : 74.375000,  71.078125  (-3.296875)
[487] : 125.890625,  125.281250  (-0.609375)
[488] : 174.718750,  175.812500  (1.093750)
[489] : 148.156250,  301.187500  (153.031250)
[490] : 127.890625,  127.890625  (0.000000)
[491] : 130.921875,  130.765625  (-0.156250)
[492] : 84.750000,  84.156250  (-0.593750)
[493] : 109.750000,  107.734375  (-2.015625)
[494] : 137.328125,  135.968750  (-1.359375)
[495] : 121.093750,  120.937500  (-0.156250)
[496] : 130.625000,  130.390625  (-0.234375)
[497] : 119.156250,  120.390625  (1.234375)
[498] : 114.328125,  134.859375  (20.531250)
[499] : 168.734375,  168.734375  (0.000000)
[500] : 120.984375,  120.875000  (-0.109375)
[501] : 98.906250,  98.906250  (0.000000)
[502] : 158.515625,  149.421875  (-9.093750)
[503] : 148.828125,  139.578125  (-9.250000)
[504] : 95.484375,  86.750000  (-8.734375)
[505] : 46.859375,  46.859375  (0.000000)
[506] : 391.421875,  391.562500  (0.140625)
[507] : 292.859375,  292.203125  (-0.656250)
[508] : 96.062500,  96.390625  (0.328125)
[509] : 125.484375,  117.609375  (-7.875000)
[510] : 83.453125,  83.687500  (0.234375)
[511] : 138.765625,  128.531250  (-10.234375)
[512] : 373.265625,  374.750000  (1.484375)
[513] : 373.671875,  372.406250  (-1.265625)
[514] : 295.765625,  297.156250  (1.390625)
[515] : 533.656250,  527.968750  (-5.687500)
[516] : 9.984375,  7.843750  (-2.140625)
[517] : 23.750000,  23.734375  (-0.015625)
[518] : 134.531250,  128.812500  (-5.718750)
