   DCT only, opt basis No.6 (MSE)
[612] : 16.609375,  16.609375
[613] : 35.343750,  54.859375
[614] : 35.359375,  39.562500
[615] : 41.343750,  5043.250000
[616] : 38.718750,  44.578125
[617] : 34.203125,  41.187500
[618] : 49.218750,  55.546875
[619] : 35.156250,  35.328125
[620] : 12.531250,  12.531250
[621] : 37.437500,  37.703125
[622] : 38.984375,  39.343750
[623] : 39.953125,  51.843750
[624] : 39.093750,  38.984375
[625] : 47.796875,  47.750000
[626] : 49.234375,  84.171875
[627] : 35.484375,  42.156250
[628] : 31.937500,  33.625000
[629] : 41.015625,  48.515625
[630] : 25.031250,  34.265625
[631] : 12.359375,  16.203125
[632] : 2.671875,  2.796875
[633] : 20.234375,  19.671875
[634] : 2.546875,  2.546875
[635] : 1.593750,  1.328125
[636] : 1.203125,  1.203125
[637] : 1.234375,  1.234375
[638] : 2.234375,  2.234375
[639] : 7.750000,  7.312500
[640] : 37.640625,  37.593750
[641] : 44.843750,  70.203125
[642] : 13.546875,  13.531250
[643] : 21.859375,  22.984375
[644] : 19.421875,  74.640625
[645] : 32.953125,  33.968750
[646] : 39.640625,  39.640625
[647] : 44.812500,  75.859375
[648] : 41.593750,  51.218750
[649] : 43.125000,  48.109375
[650] : 48.281250,  48.140625
[651] : 43.781250,  43.781250
[652] : 25.656250,  25.890625
[653] : 40.265625,  40.500000
[654] : 35.000000,  34.859375
[655] : 42.703125,  232.453125
[656] : 38.734375,  39.406250
[657] : 36.203125,  309.500000
[658] : 34.828125,  43.484375
[659] : 27.734375,  37.187500
[660] : 48.359375,  87.828125
[661] : 30.718750,  101.718750
[662] : 41.906250,  41.078125
[663] : 27.531250,  134.468750
[664] : 33.687500,  33.687500
[665] : 33.921875,  33.921875
[666] : 3.015625,  3.015625
[667] : 1.125000,  1.125000
[668] : 1.265625,  1.265625
[669] : 1.546875,  1.562500
[670] : 24.500000,  27.109375
[671] : 27.031250,  27.031250
[672] : 22.078125,  22.031250
[673] : 16.843750,  18.156250
[674] : 27.968750,  28.781250
[675] : 23.578125,  23.578125
[676] : 24.312500,  24.375000
[677] : 37.546875,  47.140625
[678] : 30.593750,  30.593750
[679] : 28.453125,  28.453125
[680] : 32.937500,  33.484375
[681] : 47.687500,  1318.453125
[682] : 41.640625,  44.890625
[683] : 46.796875,  55.359375
[684] : 46.093750,  46.234375
[685] : 26.171875,  26.421875
[686] : 35.765625,  37.015625
[687] : 24.671875,  101.203125
[688] : 40.390625,  252.484375
[689] : 32.390625,  32.390625
[690] : 46.906250,  123.312500
[691] : 32.687500,  48.828125
[692] : 26.406250,  26.406250
[693] : 33.953125,  34.203125
[694] : 31.593750,  33.109375
[695] : 33.875000,  39.375000
[696] : 35.031250,  37.093750
[697] : 4.343750,  4.218750
[698] : 3.328125,  5.015625
[699] : 3.750000,  3.750000
[700] : 0.984375,  0.984375
[701] : 0.843750,  0.718750
[702] : 5.609375,  5.609375
[703] : 14.765625,  14.421875
[704] : 7.500000,  11.421875
[705] : 2.500000,  2.453125
[706] : 28.703125,  28.593750
[707] : 25.015625,  39.328125
[708] : 13.859375,  14.046875
[709] : 21.953125,  27.828125
[710] : 16.937500,  17.078125
[711] : 40.328125,  40.328125
[712] : 39.187500,  39.234375
[713] : 41.671875,  88.312500
[714] : 40.359375,  40.328125
[715] : 22.703125,  49.046875
[716] : 36.531250,  36.515625
[717] : 39.390625,  183.953125
[718] : 27.187500,  27.187500
[719] : 50.328125,  52.171875
[720] : 27.218750,  26.687500
[721] : 40.546875,  40.921875
[722] : 25.437500,  35.234375
[723] : 41.921875,  139.937500
[724] : 43.109375,  43.625000
[725] : 30.875000,  30.984375
[726] : 30.265625,  44.500000
[727] : 34.812500,  34.781250
[728] : 33.687500,  33.578125
[729] : 15.421875,  15.109375
[730] : 21.859375,  46.000000
[731] : 2.359375,  2.171875
[732] : 1.453125,  1.437500
[733] : 1.296875,  1.296875
[734] : 1.343750,  1.343750
[735] : 2.843750,  2.843750
[736] : 3.187500,  6.921875
[737] : 2.156250,  2.156250
[738] : 3.781250,  3.703125
[739] : 5.093750,  5.171875
[740] : 28.406250,  28.312500
[741] : 36.796875,  38.296875
[742] : 30.218750,  41.718750
[743] : 14.171875,  14.656250
[744] : 9.843750,  9.890625
[745] : 42.828125,  43.015625
[746] : 9.046875,  8.937500
[747] : 25.546875,  25.187500
[748] : 29.296875,  625.687500
[749] : 29.046875,  29.500000
[750] : 24.484375,  24.375000
[751] : 26.406250,  38.359375
[752] : 26.156250,  27.093750
[753] : 26.265625,  33.687500
[754] : 31.031250,  31.687500
[755] : 45.640625,  346.500000
[756] : 29.843750,  41.296875
[757] : 34.578125,  422.765625
[758] : 31.671875,  31.656250
[759] : 28.578125,  29.984375
[760] : 36.515625,  39.750000
[761] : 22.250000,  22.890625
[762] : 29.234375,  29.234375
[763] : 8.359375,  8.406250
[764] : 2.250000,  2.265625
[765] : 2.125000,  1.890625
[766] : 0.640625,  0.640625
[767] : 3.687500,  3.687500
[768] : 2.421875,  3.156250
[769] : 2.531250,  2.578125
[770] : 2.562500,  2.562500
[771] : 2.046875,  2.046875
[772] : 2.656250,  2.656250
[773] : 4.718750,  4.718750
[774] : 4.828125,  4.984375
[775] : 5.421875,  6.265625
[776] : 4.937500,  4.843750
[777] : 20.734375,  20.906250
[778] : 19.375000,  19.375000
[779] : 25.031250,  25.109375
[780] : 32.828125,  33.500000
[781] : 23.125000,  23.125000
[782] : 17.375000,  17.390625
[783] : 20.828125,  21.156250
[784] : 26.546875,  32.078125
[785] : 44.031250,  43.937500
[786] : 35.093750,  527.671875
[787] : 51.625000,  51.625000
[788] : 21.765625,  22.000000
[789] : 28.359375,  28.578125
[790] : 48.281250,  51.812500
[791] : 37.031250,  37.453125
[792] : 31.921875,  31.921875
[793] : 26.203125,  48.515625
[794] : 39.109375,  39.109375
[795] : 12.750000,  20.671875
[796] : 5.843750,  5.171875
[797] : 4.750000,  4.750000
[798] : 1.000000,  1.000000
[799] : 1.906250,  1.921875
[800] : 2.265625,  3.656250
[801] : 2.468750,  2.468750
[802] : 2.843750,  2.890625
[803] : 1.609375,  1.625000
[804] : 1.828125,  1.812500
[805] : 2.671875,  2.593750
[806] : 3.546875,  3.500000
[807] : 5.546875,  5.562500
[808] : 6.718750,  11.125000
[809] : 32.578125,  53.343750
[810] : 53.171875,  53.156250
[811] : 23.656250,  23.656250
[812] : 27.265625,  29.890625
[813] : 19.453125,  20.593750
[814] : 9.375000,  9.453125
[815] : 21.343750,  22.890625
[816] : 37.265625,  150.593750
[817] : 32.640625,  32.984375
[818] : 53.437500,  56.500000
