
basis : 14, 39, 59
 [263]  dct:12.046875  a:12.046875  b:12.046875  c:12.046875   (0)    [14]:-0.047728, [39]:-0.204275, [59]:0.013672
 [264]  dct:8.328125  a:8.328125  b:8.328125  c:8.406250   (0)    [14]:0.278923, [39]:0.189736, [59]:0.189401
 [267]  dct:6.046875  a:6.046875  b:5.625000  c:6.046875   (2)    [14]:-0.167290, [39]:-0.391339, [59]:-0.068307
 [268]  dct:11.765625  a:11.750000  b:11.765625  c:11.765625   (1)    [14]:0.500009, [39]:-0.154893, [59]:-0.097292
 [269]  dct:8.078125  a:8.078125  b:8.078125  c:8.078125   (0)    [14]:0.075072, [39]:0.163477, [59]:0.042282
 [271]  dct:6.421875  a:6.421875  b:6.312500  c:6.062500   (3)    [14]:0.033548, [39]:-0.221200, [59]:0.229202
 [276]  dct:7.109375  a:7.109375  b:7.109375  c:7.109375   (0)    [14]:-0.048033, [39]:-0.005181, [59]:-0.011936
 [280]  dct:3.750000  a:3.359375  b:3.750000  c:3.531250   (1)    [14]:-0.268341, [39]:0.121268, [59]:-0.122234
 [288]  dct:31.078125  a:31.078125  b:28.796875  c:34.546875   (2)    [14]:-0.159462, [39]:-0.561113, [59]:-0.612623
 [290]  dct:95.546875  a:93.718750  b:93.750000  c:133.234375   (1)    [14]:-0.809152, [39]:0.864324, [59]:-1.908383
 [291]  dct:12.312500  a:11.781250  b:12.312500  c:11.687500   (3)    [14]:-0.308089, [39]:-0.044596, [59]:0.235123
 [292]  dct:11.953125  a:11.953125  b:11.953125  c:11.953125   (0)    [14]:-0.133919, [39]:0.062508, [59]:0.154537
 [293]  dct:157.062500  a:156.671875  b:157.062500  c:156.515625   (3)    [14]:0.885058, [39]:-0.037125, [59]:-0.292237
 [294]  dct:80.812500  a:82.546875  b:79.234375  c:78.187500   (3)    [14]:0.474537, [39]:-1.119481, [59]:-0.268851
 [295]  dct:9.843750  a:9.843750  b:9.843750  c:9.843750   (0)    [14]:-0.022101, [39]:0.082809, [59]:-0.084996
 [299]  dct:11.640625  a:11.640625  b:11.640625  c:11.640625   (0)    [14]:0.039517, [39]:0.008084, [59]:-0.053181
 [300]  dct:6.421875  a:6.421875  b:6.640625  c:5.578125   (3)    [14]:0.315978, [39]:-0.259455, [59]:0.536971
 [301]  dct:7.750000  a:7.750000  b:7.750000  c:6.968750   (3)    [14]:0.087079, [39]:0.035087, [59]:0.241600
 [302]  dct:6.875000  a:6.875000  b:6.906250  c:6.875000   (0)    [14]:-0.110504, [39]:0.332445, [59]:0.000130
 [309]  dct:9.890625  a:9.890625  b:9.890625  c:9.890625   (0)    [14]:0.160867, [39]:0.046767, [59]:-0.031426
 [310]  dct:13.093750  a:13.093750  b:13.093750  c:13.125000   (0)    [14]:0.382815, [39]:0.104449, [59]:0.207916
 [312]  dct:10.218750  a:10.218750  b:10.218750  c:8.546875   (3)    [14]:-0.157511, [39]:0.086171, [59]:-0.183841
 [320]  dct:34.437500  a:34.031250  b:32.609375  c:27.203125   (3)    [14]:-0.235766, [39]:-0.310982, [59]:-0.708260
 [322]  dct:148.343750  a:144.984375  b:145.484375  c:147.718750   (1)    [14]:-0.460151, [39]:0.687363, [59]:0.506998
 [323]  dct:14.375000  a:14.703125  b:14.359375  c:14.625000   (2)    [14]:0.743905, [39]:-0.252074, [59]:-0.204775
 [326]  dct:140.156250  a:140.109375  b:140.156250  c:146.000000   (1)    [14]:0.772905, [39]:0.092337, [59]:-0.589754
 [327]  dct:85.328125  a:85.328125  b:84.203125  c:81.156250   (3)    [14]:-0.110548, [39]:-1.539134, [59]:-0.429673
